id,title,price,promo_price,url
1512606,"Ноутбук ASUS VivoBook 15 OLED K513EA-L12041W, 90NB0SG3-M002B0,  золотистый","
                                    84 990
                            ","
                                    84 890
                            ",https://www.citilink.ru/product/noutbuk-irbis-nb-nb104-cel-n4020-4gb-emmc64gb-600-11-6-ips-hd-w10-blac-1512606/
1498559,"Ноутбук ASUS A516EA-BQ1909W, 90NB0TY1-M00U40,  серый","
                                    29 990
                            ","
                                    29 890
                            ",https://www.citilink.ru/product/noutbuk-hp-15s-fq3031ur-pen-n6000-4gb-ssd128gb-15-6-ips-fhd-w10-grey-1498559/
1512579,"Ноутбук HP 14s-fq0094ur, 3C8M4EA,  черный","
                                    29 990
                            ","
                                    29 890
                            ",https://www.citilink.ru/product/noutbuk-irbis-nb-nb143-cel-n3350-4gb-emmc64gb-500-14-1-ips-fhd-w10h-bl-1512579/
1404135,"Ноутбук Huawei MateBook 14S, 53012MAC,  серый","
                                    109 990
                            ","
                                    109 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r2qk-ryzen-3-3250u-8gb-ssd128gb-15-6-fhd-1404135/
1654475,"Ноутбук ASUS Vivobook Pro 15 OLED M3500QC-L1079W, 90NB0UT2-M000S0,  синий","
                                    114 990
                            ","
                                    114 890
                            ",https://www.citilink.ru/product/noutbuk-asus-a516ja-bq2666-i5-1035g1-8gb-ssd512gb-15-ips-fhd-noos-grey-1654475/
1626467,"Ноутбук Digma EVE 14 P416, ES4062EW,  темно-серый","
                                    20 490
                            ","
                                    19 490
                            ",https://www.citilink.ru/product/noutbuk-realme-realme-book-i5-1135g7-8gb-ssd512gb-14-ips-fhd-w10-silve-1626467/
1583780,"Ноутбук Acer Aspire 5 A515-45-R9C5, NX.A7ZER.00B,  черный","
                                    53 990
                            ","
                                    53 890
                            ",https://www.citilink.ru/product/noutbuk-asus-k3400pa-km047w-i5-11300h-16gb-ssd512gb-14-oled-wq-w11-1583780/
1492779,"Ноутбук HP 250 G8, 3A5X9EA,  темно-серебристый","
                                    28 990
                            ","
                                    28 890
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-athlon-3020e-8gb-ssd256gb-17-3-tn-hd-1492779/
1490205,"Ноутбук DELL G15 5510, G515-7104,  темно-серый","
                                    93 990
                            ","
                                    93 890
                            ",https://www.citilink.ru/product/noutbuk-hp-255-g8-athlon-3050u-4gb-ssd128gb-15-6-fhd-w10pro64-1490205/
1654747,"Ноутбук IRBIS NB NB104, NB104,  черный","
                                    12 990
                            ","
                                    12 940
                            ",https://www.citilink.ru/product/noutbuk-asus-tuf-gaming-fx506heb-hn155w-i5-11400h-8gb-ssd512gb-rtx-305-1654747/
1651630,"Ноутбук HP 15s-fq3031ur, 3T775EA,  серый","
                                    40 190
                            ","
                                    40 090
                            ",https://www.citilink.ru/product/noutbuk-asus-vivobook-pro-k3500pa-l1091w-i5-11300h-16gb-ssd512gb-15-6-1651630/
1654587,"Ноутбук Huawei MateBook D 15, 53012TLM,  серый космос","
                                    74 990
                            ","
                                    74 890
                            ",https://www.citilink.ru/product/noutbuk-asus-zenbook-ux425ea-ki938-i5-1135g7-16gb-ssd512gb-14-fhd-noos-1654587/
1512604,"Ноутбук IRBIS NB NB143, NB143,  черный","
                                    13 990
                            ","
                                    13 890
                            ",https://www.citilink.ru/product/noutbuk-irbis-nb-nb120-cel-n4020-4gb-emmc64gb-600-11-6-ips-touch-hd-w1-1512604/
1496742,"Ноутбук Acer Aspire 3 A315-23-R2QK, NX.HVUER.005,  серебристый","
                                    33 990
                            ","
                                    33 970
                            ",https://www.citilink.ru/product/noutbuk-irbis-nb-nb73-atom-x5-j3455-4gb-ssd64gb-13-3-ips-touch-fhd-w10-1496742/
1618291,"Ноутбук ASUS Zenbook UX425EA-KI965W, 90NB0SM1-M00F80,  серый","
                                    93 990
                            ","
                                    93 890
                            ",https://www.citilink.ru/product/noutbuk-asus-k513ea-l12779w-i3-1115g4-8gb-ssd256gb-15-6-oled-fhd-w11-s-1618291/
1473921,"Ноутбук ASUS A516JA-BQ2666, 90NB0SR1-M00BT0,  серый","
                                    57 990
                            ","
                                    57 890
                            ",https://www.citilink.ru/product/noutbuk-hp-14s-dq3002ur-cel-n4500-4gb-ssd128gb-14-sva-hd-w10-black-1473921/
1603759,"Ноутбук REALME book, 6900108,  серебристый","
                                    59 990
                            ","
                                    59 890
                            ",https://www.citilink.ru/product/noutbuk-gigabyte-g5-kc-5ru1130sh-i5-10500h-6gb-ssd512gb-rtx-3060-8gb-1-1603759/
1194679,"Ноутбук ASUS Vivobook Pro 14 OLED K3400PA-KM047W, 90NB0UY2-M02000,  синий","
                                    73 990
                            ","
                                    73 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-53w1-15-6-intel-core-i5-1035g1-1ggc-8gb-1194679/
